id,opened,closed,status,reason,type,location,neighborhood,zip,latitude,longitude
1.01E+11,9/26/13 20:58,9/27/13 9:53,Closed,General Request,General Request,5-87 Crestwood Park  Dorchester  MA  02121,Roxbury,2121,42.317842,-71.088514
1.01E+11,9/26/13 18:31,,Open,General Request,General Request,14 Woodcliff St  Dorchester  MA  02125,Roxbury,2125,42.316193,-71.077238
1.01E+11,9/26/13 17:12,,Open,General Request,General Request,650 Harrison Ave  Roxbury  MA  02118,Roxbury,2118,42.339481,-71.069275
1.01E+11,9/26/13 15:49,10/10/13 10:24,Closed,Graffiti,Graffiti Removal,INTERSECTION of Washington St & Clifton Pl  Roxbury  MA  ,Roxbury,,42.363289,-71.050254
1.01E+11,9/26/13 13:29,9/29/13 16:02,Closed,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Highland St & Millmont St  Roxbury  MA  ,Roxbury,,42.3541,-71.05228
1.01E+11,9/26/13 13:15,9/30/13 11:06,Closed,General Request,General Request,72 Fort Ave  Roxbury  MA  02119,Roxbury,2119,42.32602,-71.096115
1.01E+11,9/26/13 8:16,,Open,Signs & Signals,Sign Repair,383-385 Dudley St  Roxbury  MA  02119,Roxbury,2119,42.326164,-71.075666
1.01E+11,9/26/13 7:02,9/26/13 9:29,Closed,General Request,General Request,517 Warren St  Dorchester  MA  02121,Roxbury,2121,42.313384,-71.08384
1.01E+11,9/25/13 13:49,,Open,General Request,General Request,228 Northampton St  Roxbury  MA  02118,Roxbury,2118,42.33825,-71.08065
1.01E+11,9/24/13 20:34,9/25/13 16:43,Closed,General Request,General Request,225 Northampton St  Roxbury  MA  02118,Roxbury,2118,42.33844,-71.08035
1.01E+11,9/24/13 19:44,9/30/13 11:20,Closed,Street Lights,Street Light Outages,INTERSECTION of Brookford St & Hartford St  Dorchester  MA  ,Roxbury,,42.332581,-71.058375
1.01E+11,9/24/13 16:21,,Open,General Request,General Request,10 Ringgold St  Roxbury  MA  02118,Roxbury,2118,42.3594,-71.0587
1.01E+11,9/24/13 8:40,9/24/13 11:38,Closed,General Request,General Request,135 Dudley St  Roxbury  MA  02119,Roxbury,2119,42.32832,-71.08405
1.01E+11,9/24/13 8:12,,Open,General Request,General Request,650 Columbus Ave  Roxbury  MA  02118,Roxbury,2118,42.338841,-71.083527
1.01E+11,9/23/13 16:56,9/24/13 8:13,Closed,General Request,General Request,35 Dennison St  Roxbury  MA  02119,Roxbury,2119,42.31814,-71.09319
1.01E+11,9/23/13 8:35,9/24/13 11:17,Closed,General Request,General Request,970-972 Tremont St  Mission Hill  MA  02120,Roxbury,2120,42.336983,-71.083959
1.01E+11,9/23/13 7:47,9/23/13 14:16,Closed,General Request,General Request,INTERSECTION of Anita Ter & Carnes Pl  Roxbury  MA  ,Roxbury,,42.27257,-71.06654
1.01E+11,9/23/13 6:23,,Open,General Request,General Request,24A-24B Williams St  Roxbury  MA  02119,Roxbury,2119,42.33235,-71.08263
1.01E+11,9/21/13 23:50,9/22/13 19:34,Closed,General Request,General Request,685 Tremont St  Roxbury  MA  02118,Roxbury,2118,42.3594,-71.0587
1.01E+11,9/21/13 18:16,9/24/13 11:16,Closed,General Request,General Request,INTERSECTION of Dudley St & Harrison Ave  Roxbury  MA  ,Roxbury,,42.289717,-71.128557
1.01E+11,9/21/13 17:43,9/24/13 8:36,Closed,General Request,General Request,224 Northampton St  Roxbury  MA  02118,Roxbury,2118,42.33814,-71.0805
1.01E+11,9/21/13 13:16,,Open,General Request,General Request,797-807 Massachusetts Ave  Roxbury  MA  02119,Roxbury,2119,42.333044,-71.073234
1.01E+11,9/21/13 13:16,9/22/13 13:38,Closed,General Request,General Request,12 Douglass Park  Mission Hill  MA  02120,Roxbury,2120,42.338218,-71.083827
1.01E+11,9/21/13 0:02,9/22/13 23:09,Closed,General Request,General Request,140 Marcella St  Roxbury  MA  02119,Roxbury,2119,42.325397,-71.096833
1.01E+11,9/20/13 19:31,9/23/13 9:23,Closed,General Request,General Request,212 Northampton St  Roxbury  MA  02118,Roxbury,2118,42.33789,-71.08019
1.01E+11,9/19/13 22:28,9/23/13 9:33,Closed,General Request,General Request,INTERSECTION of Dudley St & Warren St  Roxbury  MA  ,Roxbury,,42.289611,-71.128665
1.01E+11,9/19/13 16:47,9/20/13 10:14,Closed,General Request,General Request,INTERSECTION of Marcella St & Centre Street Ter  Roxbury  MA  ,Roxbury,,42.353067,-71.062842
1.01E+11,9/19/13 8:54,9/19/13 11:18,Closed,General Request,General Request,INTERSECTION of Benton St & Frederick Douglass Sq  Mission Hill  MA  ,Roxbury,,42.272859,-71.105017
1.01E+11,9/19/13 8:45,9/20/13 9:26,Closed,General Request,General Request,30 Norfolk St  Roxbury  MA  02119,Roxbury,2119,42.328686,-71.090651
1.01E+11,9/19/13 8:39,9/20/13 9:26,Closed,General Request,General Request,73 Cedar St  Roxbury  MA  02119,Roxbury,2119,42.32628,-71.09173
1.01E+11,9/18/13 17:52,,Open,General Request,General Request,218 Northampton St  Roxbury  MA  02118,Roxbury,2118,42.33801,-71.08034
1.01E+11,9/18/13 11:20,9/18/13 14:55,Closed,General Request,General Request,32 Guild St  Roxbury  MA  02119,Roxbury,2119,42.32667,-71.08933
1.01E+11,9/18/13 10:51,9/18/13 14:56,Closed,General Request,General Request,INTERSECTION of Highland St & Millmont St  Roxbury  MA  ,Roxbury,,42.3541,-71.05228
1.01E+11,9/17/13 17:46,9/18/13 9:23,Closed,General Request,General Request,147 Marcella St  Roxbury  MA  02119,Roxbury,2119,42.32547,-71.09655
1.01E+11,9/17/13 16:51,9/18/13 12:47,Closed,Highway Maintenance,Request for Pothole Repair,17-19 Lambert Ave  Roxbury  MA  02119,Roxbury,2119,42.32839,-71.08983
1.01E+11,9/17/13 16:49,,Open,General Request,General Request,68-70 Bartlett St  Roxbury  MA  02119,Roxbury,2119,42.329031,-71.090089
1.01E+11,9/17/13 16:44,9/23/13 9:30,Closed,General Request,General Request,249-263 Roxbury St  Roxbury  MA  02119,Roxbury,2119,42.33035,-71.09327
1.01E+11,9/17/13 15:13,10/7/13 14:37,Closed,General Request,General Request,47 Roxbury St  Roxbury  MA  02119,Roxbury,2119,42.32976,-71.08559
1.01E+11,9/17/13 12:40,9/18/13 13:15,Closed,General Request,General Request,11-13 Farnham St  Roxbury  MA  02119,Roxbury,2119,42.330355,-71.07423
1.01E+11,9/17/13 11:54,9/17/13 14:01,Closed,General Request,General Request,147 Marcella St  Roxbury  MA  02119,Roxbury,2119,42.32547,-71.09655
